LOCATION_CODE,MAT_CODE,PRODUCT_SUBTYPE,TRADE_PRODUCT_BRAND,TRADE_PRODUCT_MODEL,COLOR,PRODUCT_NAME,REQ_DATE,LUNCH_DATE,START_DATE,END_DATE,sum_lambda,SALE_AMT
1106,NEW0RUS5006-DL01,HANDSET BUNDLE,RUIO,S5006,DARK BLUE,S5006 +SIM MARATHON,2019-12-12,2019-07-04,2019-12-13,2019-12-22,0.1998,0
1106,NEW0RUS5006-DL01N3,HANDSET BUNDLE,RUIO,S5006,DARK BLUE,S5006 +SIM MARATHON,2019-12-19,2019-07-04,2019-12-20,2019-12-29,0.1795,0
1106,NEW0RUS5006-DL01N3,HANDSET BUNDLE,RUIO,S5006,DARK BLUE,S5006 +SIM MARATHON,2020-01-20,2019-07-04,2020-01-21,2020-01-27,0.0798,0
1106,NEW0RUS5006-DL01X3,HANDSET BUNDLE,RUIO,S5006,DARK BLUE,S5006 +SIM MARATHON,2019-12-16,2019-07-04,2019-12-17,2019-12-23,0.1352,0
1106,NEW0RUS5006-DL01X3,HANDSET BUNDLE,RUIO,S5006,DARK BLUE,S5006 +SIM MARATHON,2019-12-30,2019-07-04,2019-12-31,2020-01-06,0.1094,0
1106,NEW0RUS5506-DG01,HANDSET BUNDLE,RUIO,S5506,DARK GOLD,S5506 +SIM MARATHON,2019-12-12,2019-09-30,2019-12-13,2019-12-22,1.2596,3
1106,NEW0RUS5506-DG01,HANDSET BUNDLE,RUIO,S5506,DARK GOLD,S5506 +SIM MARATHON,2019-12-23,2019-09-30,2019-12-24,2019-12-30,1.0081,2
1106,NEW0RUS5506-DG01,HANDSET BUNDLE,RUIO,S5506,DARK GOLD,S5506 +SIM MARATHON,2019-12-30,2019-09-30,2019-12-31,2020-01-06,1.1065,4
1106,NEW0RUS5506-DG01,HANDSET BUNDLE,RUIO,S5506,DARK GOLD,S5506 +SIM MARATHON,2020-01-06,2019-09-30,2020-01-07,2020-01-13,1.2144,1
1106,NEW0RUS5506-DG01,HANDSET BUNDLE,RUIO,S5506,DARK GOLD,S5506 +SIM MARATHON,2020-01-09,2019-09-30,2020-01-10,2020-01-19,1.8278,3
1106,NEW0RUS5506-DG01,HANDSET BUNDLE,RUIO,S5506,DARK GOLD,S5506 +SIM MARATHON,2020-01-13,2019-09-30,2020-01-14,2020-01-20,1.3328,2
1106,NEW0RUS5506-DG01,HANDSET BUNDLE,RUIO,S5506,DARK GOLD,S5506 +SIM MARATHON,2020-01-20,2019-09-30,2020-01-21,2020-01-27,1.4628,1
1106,NEW0RUS5506-DG01N3,HANDSET BUNDLE,RUIO,S5506,DARK GOLD,RUIO  S5506  DARK GOLD,2019-12-26,2019-09-30,2019-12-27,2020-01-05,1.5174,4
1106,NEW0RUS5506-DG01N3,HANDSET BUNDLE,RUIO,S5506,DARK GOLD,RUIO  S5506  DARK GOLD,2020-01-16,2019-09-30,2020-01-17,2020-01-26,2.0061,1
1106,NEW0RUS5506-DG01S3,HANDSET BUNDLE,RUIO,S5506,DARK GOLD,RUIO  S5506  DARK GOLD,2019-12-09,2019-09-30,2019-12-10,2019-12-16,0.8367,1
1106,NEW0RUS5506-DG01S3,HANDSET BUNDLE,RUIO,S5506,DARK GOLD,S5506 +SIM MARATHON,2019-12-16,2019-09-30,2019-12-17,2019-12-23,0.9186,3
